# Taken from Table 2 of Perry et al., 1996, An extended data set
# of river discharges for validation of general circulation models
# Jour. Geophys. Res., 101, D16, 21339-21349
# Edited by Iris Kriest, 02 Nov  2010
# Rank Latitude Longitude     MeanFlow 
#                             m3/sec
1     0.0     310.0	      192918	     
2     -6.0    12.5	      40755	
3     22.0    91.0	      34000	
4     9.0     299.0	      30950	
5     31.5    122.0	      28863	
6     72.0    82.0	      18350	
7     -35.0   303.0	      16387	
8     29.0    271.0	      16287	
9     73.0    127.0	      16287	
10    10.0    106.0	      14850	
11    16.0    95.0	      13425	
12    72.0    73.0	      12738	
13    49.5    295.5	      11458	
14    -0.5    311.5	      10400	
15    53.0    141.0	      10185	
16    22.2    113.4	      9611	
17    69.0    225.0	      9013	
18    46.3    236.0	      7460	
19    11.0    285.0	      7325	
20    63.0    195.0	      6412	
21    45.2    29.7	      6365	
22    24.0    67.5	      6092	
23    16.5    97.0	      5750	
24    -4.0    6.0	      5533	
25    -3.8    144.5	      5150	
26    -9.0    143.0	      4960	
27    -1.0    9.0	      4686	
28    -35.0   303.8	      4618	
29    -6.8    112.6	      4240	
30    -18.7   36.5	      4121	
31    68.0    54.0	      4052	
32    20.5    106.5	      3750	
33    49.5    236.5	      3590	
34    22.5    91.0	      3515	
35    64.5    41.0	      3418	
36    16.5    82.0	      3250	
37    73.0    107.0	      3240	
38    -10.5   323.5	      3087	
39    69.0    161.0	      2985	
40    59.9    30.3	      2524	
41    73.5    87.0	      2512	
42    57.0    268.0	      2495	
43    58.0    292.0	      2460	
44    -6.0    107.0	      2400	
45    -8.0    145.0	      2376	
46    18.0    267.0	      2339	
47    8.4     283.0	      2275	
48    52.0    4.0	      2246	
49    7.0     301.5	      2198	
50    4.0     10.0	      2087 	
51    4.2     283.4	      2010 	
52    20.0    87.0	      2008 	
53    6.0     302.8	      2000 	
54    26.1    119.7	      1905 	
55    16.0    81.0	      1894 	
56    5.8     306.0	      1877 	
57    31.5    31.0	      1829 	
58    30.2    272.0	      1752 	
59    53.8    281.0	      1720 	
60    48.1    290.2	      1701 	
61    54.4    302.5	      1686 	
62    71.0    150.0	      1631 	
63    46.5    32.3	      1630 	
64    43.5    4.5	      1630 	
65    -7.7    108.8	      1595 	
66    67.7    78.7	      1540 	
67    60.0    162.5	      1503 	
68    -2.5    280.0	      1490 	
69    30.2    120.3	      1490 	
70    45.0    12.5	      1476 	
71    30.0    49.0	      1445 	
72    21.5    72.5	      1401 	
73    38.0    119.0	      1361 	
74    60.5    215.0	      1344 	
75    54.1    230.0	      1331 	
